ts_event,open,high,low,close,volume
2025-04-30 09:24:00-04:00,40350.0,40361.0,40338.0,40355.0,299
2025-04-30 09:26:00-04:00,40356.0,40362.0,40312.0,40333.0,490
2025-04-30 09:28:00-04:00,40335.0,40374.0,40331.0,40370.0,537
2025-04-30 09:30:00-04:00,40369.0,40371.0,40196.0,40223.0,3420
2025-04-30 09:32:00-04:00,40223.0,40243.0,40169.0,40190.0,1883
2025-04-30 09:34:00-04:00,40189.0,40269.0,40179.0,40239.0,1393
2025-04-30 09:36:00-04:00,40241.0,40241.0,40128.0,40153.0,1923
2025-04-30 09:38:00-04:00,40151.0,40166.0,40088.0,40094.0,1096
2025-04-30 09:40:00-04:00,40094.0,40115.0,40022.0,40032.0,1209
2025-04-30 09:42:00-04:00,40040.0,40040.0,39972.0,40003.0,1448
2025-04-30 09:44:00-04:00,40000.0,40025.0,39990.0,40019.0,842
2025-04-30 09:46:00-04:00,40017.0,40036.0,39986.0,40030.0,924
2025-04-30 09:48:00-04:00,40033.0,40076.0,40027.0,40049.0,1050
2025-04-30 09:50:00-04:00,40050.0,40052.0,39984.0,39990.0,911
2025-04-30 09:52:00-04:00,39987.0,40007.0,39947.0,39954.0,1176
2025-04-30 09:54:00-04:00,39955.0,39961.0,39933.0,39937.0,996
2025-04-30 09:56:00-04:00,39938.0,39939.0,39867.0,39886.0,1489
2025-04-30 09:58:00-04:00,39885.0,39917.0,39868.0,39891.0,753
2025-04-30 10:00:00-04:00,39887.0,40004.0,39878.0,39997.0,2381
2025-04-30 10:02:00-04:00,39994.0,40010.0,39939.0,39950.0,1117
2025-04-30 10:04:00-04:00,39954.0,39985.0,39938.0,39975.0,733
2025-04-30 10:06:00-04:00,39972.0,40000.0,39933.0,39948.0,732
2025-04-30 10:08:00-04:00,39944.0,40031.0,39936.0,40010.0,1123
2025-04-30 10:10:00-04:00,40009.0,40032.0,39984.0,40026.0,862
2025-04-30 10:12:00-04:00,40026.0,40071.0,40026.0,40067.0,1060
2025-04-30 10:14:00-04:00,40067.0,40081.0,40043.0,40075.0,1083
2025-04-30 10:16:00-04:00,40073.0,40075.0,40030.0,40040.0,768
2025-04-30 10:18:00-04:00,40039.0,40099.0,40037.0,40092.0,989
2025-04-30 10:20:00-04:00,40085.0,40104.0,40076.0,40092.0,830
2025-04-30 10:22:00-04:00,40090.0,40142.0,40079.0,40130.0,810
2025-04-30 10:24:00-04:00,40131.0,40164.0,40129.0,40156.0,940
2025-04-30 10:26:00-04:00,40154.0,40172.0,40145.0,40168.0,772
2025-04-30 10:28:00-04:00,40167.0,40193.0,40152.0,40185.0,774
2025-04-30 10:30:00-04:00,40183.0,40222.0,40173.0,40212.0,801
2025-05-01 09:24:00-04:00,40997.0,41005.0,40988.0,40998.0,210
2025-05-01 09:26:00-04:00,40995.0,40998.0,40986.0,40996.0,209
2025-05-01 09:28:00-04:00,40995.0,41002.0,40961.0,40978.0,634
2025-05-01 09:30:00-04:00,40980.0,41026.0,40888.0,40897.0,2710
2025-05-01 09:32:00-04:00,40898.0,40952.0,40881.0,40885.0,2115
2025-05-01 09:34:00-04:00,40886.0,40952.0,40880.0,40945.0,1372
2025-05-01 09:36:00-04:00,40941.0,41049.0,40931.0,41043.0,1978
2025-05-01 09:38:00-04:00,41042.0,41050.0,40979.0,40994.0,992
2025-05-01 09:40:00-04:00,40993.0,41024.0,40964.0,40988.0,953
2025-05-01 09:42:00-04:00,40990.0,40999.0,40964.0,40975.0,822
2025-05-01 09:44:00-04:00,40978.0,41009.0,40962.0,40976.0,656
2025-05-01 09:46:00-04:00,40976.0,41002.0,40965.0,40988.0,672
2025-05-01 09:48:00-04:00,40988.0,41022.0,40988.0,41006.0,790
2025-05-01 09:50:00-04:00,41007.0,41057.0,40989.0,41054.0,1342
2025-05-01 09:52:00-04:00,41056.0,41073.0,41037.0,41043.0,1161
2025-05-01 09:54:00-04:00,41046.0,41073.0,40998.0,41030.0,895
2025-05-01 09:56:00-04:00,41030.0,41032.0,40988.0,41006.0,762
2025-05-01 09:58:00-04:00,41007.0,41007.0,40888.0,40914.0,977
2025-05-01 10:00:00-04:00,40947.0,41052.0,40922.0,40982.0,1569
2025-05-01 10:02:00-04:00,40982.0,41023.0,40958.0,41021.0,1143
2025-05-01 10:04:00-04:00,41022.0,41064.0,41005.0,41054.0,1012
2025-05-01 10:06:00-04:00,41053.0,41077.0,41034.0,41042.0,995
2025-05-01 10:08:00-04:00,41042.0,41042.0,40999.0,41007.0,959
2025-05-01 10:10:00-04:00,41002.0,41014.0,40979.0,40994.0,845
2025-05-01 10:12:00-04:00,40995.0,41029.0,40966.0,41027.0,691
2025-05-01 10:14:00-04:00,41027.0,41075.0,41024.0,41065.0,928
2025-05-01 10:16:00-04:00,41066.0,41075.0,41033.0,41074.0,663
2025-05-01 10:18:00-04:00,41074.0,41075.0,41026.0,41031.0,635
2025-05-01 10:20:00-04:00,41033.0,41070.0,41029.0,41064.0,422
2025-05-01 10:22:00-04:00,41066.0,41107.0,41064.0,41101.0,1012
2025-05-01 10:24:00-04:00,41102.0,41124.0,41098.0,41101.0,702
2025-05-01 10:26:00-04:00,41104.0,41115.0,41092.0,41115.0,435
2025-05-01 10:28:00-04:00,41116.0,41134.0,41103.0,41111.0,474
2025-05-01 10:30:00-04:00,41111.0,41121.0,41080.0,41086.0,340
2025-05-02 09:24:00-04:00,41322.0,41324.0,41305.0,41305.0,137
2025-05-02 09:26:00-04:00,41308.0,41310.0,41283.0,41285.0,361
2025-05-02 09:28:00-04:00,41287.0,41302.0,41277.0,41282.0,334
2025-05-02 09:30:00-04:00,41285.0,41369.0,41263.0,41344.0,1719
2025-05-02 09:32:00-04:00,41342.0,41365.0,41320.0,41344.0,1020
2025-05-02 09:34:00-04:00,41344.0,41371.0,41335.0,41363.0,987
2025-05-02 09:36:00-04:00,41364.0,41378.0,41292.0,41296.0,1361
2025-05-02 09:38:00-04:00,41298.0,41349.0,41284.0,41340.0,1100
2025-05-02 09:40:00-04:00,41340.0,41357.0,41299.0,41318.0,852
2025-05-02 09:42:00-04:00,41319.0,41322.0,41266.0,41316.0,1047
2025-05-02 09:44:00-04:00,41315.0,41331.0,41289.0,41307.0,784
2025-05-02 09:46:00-04:00,41310.0,41310.0,41247.0,41256.0,1438
2025-05-02 09:48:00-04:00,41254.0,41263.0,41233.0,41239.0,940
2025-05-02 09:50:00-04:00,41237.0,41256.0,41170.0,41182.0,1901
2025-05-02 09:52:00-04:00,41179.0,41196.0,41141.0,41184.0,1336
2025-05-02 09:54:00-04:00,41185.0,41230.0,41182.0,41222.0,758
2025-05-02 09:56:00-04:00,41222.0,41233.0,41160.0,41176.0,1077
2025-05-02 09:58:00-04:00,41178.0,41215.0,41170.0,41202.0,650
2025-05-02 10:00:00-04:00,41200.0,41220.0,41171.0,41203.0,1039
2025-05-02 10:02:00-04:00,41202.0,41261.0,41202.0,41231.0,1280
2025-05-02 10:04:00-04:00,41231.0,41241.0,41187.0,41224.0,822
2025-05-02 10:06:00-04:00,41229.0,41241.0,41207.0,41228.0,470
2025-05-02 10:08:00-04:00,41230.0,41262.0,41211.0,41254.0,538
2025-05-02 10:10:00-04:00,41254.0,41284.0,41243.0,41259.0,1053
2025-05-02 10:12:00-04:00,41259.0,41272.0,41235.0,41267.0,679
2025-05-02 10:14:00-04:00,41270.0,41311.0,41265.0,41308.0,703
2025-05-02 10:16:00-04:00,41309.0,41338.0,41301.0,41327.0,984
2025-05-02 10:18:00-04:00,41329.0,41331.0,41293.0,41296.0,603
2025-05-02 10:20:00-04:00,41295.0,41296.0,41255.0,41272.0,866
2025-05-02 10:22:00-04:00,41271.0,41303.0,41268.0,41298.0,652
2025-05-02 10:24:00-04:00,41299.0,41336.0,41285.0,41332.0,693
2025-05-02 10:26:00-04:00,41332.0,41356.0,41331.0,41336.0,733
2025-05-02 10:28:00-04:00,41336.0,41375.0,41330.0,41368.0,814
